folder_name,content,sujeto_modelo
tigre,"Animales salvajes: aquí se puede ver un tigre de frente, un felino grande y fuerte, carnívoro, porque es un animal salvaje que vive en la naturaleza.",tigre
mariposa,"Ciclo de vida de la mariposa: aquí se puede ver un esquema del ciclo de vida de la mariposa, mostrando huevo, oruga, crisálida y mariposa adulta, porque ilustra las etapas de crecimiento y metamorfosis de este insecto.",mariposa
rana,"Ciclo de vida de la rana: aquí se puede ver un esquema del ciclo de vida de la rana, mostrando huevos, renacuajos y ranas adultas, porque ilustra las etapas de crecimiento y transformación de este anfibio.",rana
desierto,"Accidente geográfico: aquí se puede ver un desierto con extensas dunas de arena y un cielo despejado, porque es una formación natural que refleja las condiciones climáticas y geográficas de la región.",desierto
glaciares,"Accidente geográfico: aquí se puede ver un glaciar, con sus enormes masas de hielo y nieve, porque es una formación natural que refleja los procesos geológicos y climáticos de la región.",glaciar
isla,"Accidente geográfico: aquí se puede ver una isla rodeada de agua, con vegetación y playas, porque es una formación natural que forma parte del relieve y ecosistema de la región.",isla
montana,"Accidente geográfico: aquí se puede ver montañas con picos elevados y laderas cubiertas de vegetación, porque son formaciones naturales que caracterizan el relieve y el paisaje de la región.",montaña
volcan,"Accidente geográfico: aquí se puede ver un volcán con su cima prominente y laderas rocosas, algunas con vegetación, porque es una formación natural que refleja la actividad geológica de la región.",volcán
basilica_quito,"Edificio histórico: aquí se puede ver la Basílica del Voto Nacional en Quito, con su arquitectura gótica imponente y detalles ornamentales, porque es un patrimonio histórico y cultural que refleja la historia y la identidad de la ciudad.",basílica
alimentacion,"Derecho a la alimentación: aquí se puede ver a una familia reunida alrededor de la mesa, compartiendo comida casera y sonriendo juntos, porque todo niño tiene derecho a una alimentación adecuada.",familia
descanso,"Derecho al descanso: aquí se puede ver a un niño durmiendo tranquilamente en su cama, porque todo niño tiene derecho a descansar y recuperar energías",niño
educacion,"Derecho a la educación: aquí se puede ver a niños sentados en un aula con libros y cuadernos, escribiendo y escuchando a la maestra, porque todo niño tiene derecho a estudiar y aprender.",niño
salud,"Derecho a la salud: aquí se puede ver a niños sentados en una camilla mientras un médico revisa su presión, acompañados de sus padres atentos y sonrientes, porque todo niño tiene derecho a recibir atención médica.",niño
vivienda,"Derecho a una vivienda digna: aquí se puede ver a una familia frente a su casa limpia y ordenada, sonrientes y orgullosos de su hogar, porque todo niño tiene derecho a vivir en un lugar seguro.",familia
ayuda_cocina,"Ayudar en la cocina: aquí se puede ver a un niño ayudando a su mamá a mezclar ingredientes en un bol, siguiendo instrucciones mientras cocinan juntos, porque es responsabilidad de cada persona colaborar en las tareas del hogar.",niño
cuidar_mascota,"Cuidar a la mascota: aquí se puede ver a un niño sirviendo croquetas y agua a su perro en el patio, acariciándolo con cariño antes de que coma, porque es responsabilidad de cada persona cuidar y proteger a los animales.",perro
regar_plantas,"Regar las plantas: aquí se puede ver a una niña regando plantas y flores en el jardín de su casa, concentrada en cubrir toda la tierra con agua, porque es responsabilidad de cada persona cuidar el entorno y las plantas.",niña
sacar_basura,"Sacar la basura: aquí se puede ver a un niño llevando una bolsa de basura al contenedor frente a la casa, con cuidado de no derramar nada y asegurándose de cerrarla bien, porque es responsabilidad de cada persona mantener limpio su hogar.",niño
cumple,"Evento familiar: aquí se puede ver a una familia celebrando el cumpleaños de un niño, con pastel, globos y sonrisas, porque es un momento para compartir alegría y festejar juntos.",familia
navidad,"Evento familiar: aquí se puede ver a una familia celebrando la Navidad con gorros navideños, reunida alrededor del árbol decorado y compartiendo regalos, porque es un momento para disfrutar juntos y fortalecer los lazos familiares.",familia
